Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"5.62100","0.00000","0.73157"
"5.62700","0.00000","2.04077"
"5.63300","0.00000","3.53650"
"5.63900","0.00000","4.99167"
"5.64500","0.00000","6.24978"
"5.65300","0.00000","7.53675"
"5.66300","0.00000","8.51099"
"5.67300","0.00000","8.93673"
"5.68300","0.00000","9.02017"
"5.69300","0.00000","8.92167"
"5.70300","0.00000","8.75556"
"5.71300","0.00000","8.59826"
"5.72300","0.00000","8.48167"
"5.73300","0.00000","8.39919"
"5.74300","0.00000","8.33921"
"5.75300","0.00000","8.28690"
"5.76300","0.00000","8.22797"
"5.77300","0.00000","8.16832"
"5.78300","0.00000","8.11589"
"5.79300","0.00000","8.07478"
"5.80300","0.00000","8.03926"
"5.81300","0.00000","8.00149"
"5.82300","0.00000","7.95766"
"5.83300","0.00000","7.90432"
"5.84300","0.00000","7.84642"
"5.85300","0.00000","7.79263"
"5.86300","0.00000","7.74843"
"5.87300","0.00000","7.70674"
"5.88300","0.00000","7.66016"
"5.89300","0.00000","7.61352"
"5.90300","0.00000","7.56351"
"5.91300","0.00000","7.51083"
"5.92300","0.00000","7.46506"
"5.93300","0.00000","7.41942"
"5.94300","0.00000","7.37026"
"5.95300","0.00000","7.31888"
"5.96300","0.00000","7.26619"
"5.97300","0.00000","7.21549"
"5.98300","0.00000","7.17242"
"5.99300","0.00000","7.13472"
"6.00300","0.00000","7.09249"
"6.01300","0.00000","7.04188"
"6.02300","0.00000","6.98160"
"6.03300","0.00000","6.92306"
"6.04300","0.00000","6.87559"
"6.05300","0.00000","6.83126"
"6.06300","0.00000","6.78931"
"6.07300","0.00000","6.74806"
"6.08300","0.00000","6.69837"
"6.09300","0.00000","6.63996"
"6.10300","0.00000","6.58119"
"6.11300","0.00000","6.53174"
"6.12300","0.00000","6.49272"
"6.13300","0.00000","6.45714"
"6.14300","0.00000","6.41204"
"6.15300","0.00000","6.35410"
"6.16300","0.00000","6.29298"
"6.17300","0.00000","6.23711"
"6.18300","0.00000","6.19287"
"6.19300","0.00000","6.15438"
"6.20300","0.00000","6.11844"
"6.21300","0.00000","6.07953"
"6.22300","0.00000","6.03156"
"6.23300","0.00000","5.97683"
"6.24300","0.00000","5.91794"
"6.25300","0.00000","5.86091"
"6.26300","0.00000","5.80798"
"6.27300","0.00000","5.75835"
"6.28300","0.00000","5.71653"
"6.29300","0.00000","5.67794"
"6.30300","0.00000","5.64248"
"6.31300","0.00000","5.60145"
"6.32300","0.00000","5.55013"
"6.33300","0.00000","5.49127"
"6.34300","0.00000","5.43026"
"6.35300","0.00000","5.37705"
"6.36300","0.00000","5.33085"
"6.37300","0.00000","5.28946"
"6.38300","0.00000","5.24884"
"6.39300","0.00000","5.20292"
"6.40300","0.00000","5.15147"
"6.41300","0.00000","5.09746"
"6.42300","0.00000","5.04802"
"6.43300","0.00000","5.00218"
"6.44300","0.00000","4.95748"
"6.45300","0.00000","4.91197"
"6.46300","0.00000","4.86292"
"6.47300","0.00000","4.81674"
"6.48300","0.00000","4.76903"
"6.49300","0.00000","4.71871"
"6.50300","0.00000","4.66824"
"6.51300","0.00000","4.61542"
"6.52300","0.00000","4.56322"
"6.53300","0.00000","4.51295"
"6.54300","0.00000","4.46858"
"6.55300","0.00000","4.42559"
"6.56300","0.00000","4.38018"
"6.57300","0.00000","4.32919"
"6.58300","0.00000","4.26918"
"6.59300","0.00000","4.21136"
"6.60300","0.00000","4.16271"
"6.61300","0.00000","4.12268"
"6.62300","0.00000","4.08434"
"6.63300","0.00000","4.03896"
"6.64300","0.00000","3.99238"
"6.65300","0.00000","3.94481"
"6.66300","0.00000","3.89350"
"6.67300","0.00000","3.83819"
"6.68300","0.00000","3.78573"
"6.69300","0.00000","3.73937"
"6.70300","0.00000","3.69722"
"6.71300","0.00000","3.65797"
"6.72300","0.00000","3.61310"
"6.73300","0.00000","3.56144"
"6.74300","0.00000","3.50837"
"6.75300","0.00000","3.45589"
"6.76300","0.00000","3.40810"
